#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_3	4482000.00	0.57	-6.00	1.00	1.00	0.25	0.00	0.00	-0.08676000	304.08000000	249.67000000	54.42000000	306.30000000	206.97000000	44.91000000	-0.09880000	-2.83251714
SECTION_3	4482000.00	0.57	-5.00	1.00	1.00	0.25	0.00	0.00	-0.08328000	237.01000000	176.87000000	60.14000000	241.63000000	140.43000000	41.06000000	-0.08188000	-3.44659190
SECTION_3	4482000.00	0.57	-4.00	1.00	1.00	0.25	0.00	0.00	-0.03911000	185.80000000	121.35000000	64.45000000	201.48000000	110.93000000	26.09000000	-0.06596000	-1.94113560
SECTION_3	4482000.00	0.57	-3.00	1.00	1.00	0.25	0.00	0.00	-0.00144000	169.21000000	102.48000000	66.72000000	168.11000000	89.97000000	11.41000000	-0.04703000	-0.08565820
SECTION_3	4482000.00	0.57	-2.00	1.00	1.00	0.25	0.00	0.00	0.02029000	151.74000000	82.99000000	68.75000000	151.82000000	79.09000000	3.98000000	-0.02408000	1.33645106
SECTION_3	4482000.00	0.57	-1.00	1.00	1.00	0.25	0.00	0.00	0.05342000	147.07000000	77.52000000	69.55000000	145.56000000	76.00000000	0.00000000	-0.00202000	3.66996428
SECTION_3	4482000.00	0.57	0.00	1.00	1.00	0.25	0.00	0.00	0.09488000	147.71000000	78.16000000	69.56000000	146.31000000	76.75000000	0.00000000	0.01882000	6.48486091
SECTION_3	4482000.00	0.57	1.00	1.00	1.00	0.25	0.00	0.00	0.13545000	151.78000000	82.73000000	69.05000000	151.74000000	80.07000000	2.62000000	0.03963000	8.92645314
SECTION_3	4482000.00	0.57	2.00	1.00	1.00	0.25	0.00	0.00	0.17703000	161.44000000	93.44000000	68.01000000	161.66000000	86.59000000	7.06000000	0.06001000	10.95076086
SECTION_3	4482000.00	0.57	3.00	1.00	1.00	0.25	0.00	0.00	0.22997000	183.19000000	116.87000000	66.32000000	181.80000000	98.57000000	16.91000000	0.07783000	12.64961496
SECTION_3	4482000.00	0.57	4.00	1.00	1.00	0.25	0.00	0.00	0.27636000	225.77000000	162.43000000	63.34000000	223.57000000	122.35000000	37.88000000	0.09444000	12.36122915
SECTION_3	4482000.00	0.57	5.00	1.00	1.00	0.25	0.00	0.00	0.29628000	290.29000000	231.31000000	58.98000000	287.98000000	169.16000000	59.85000000	0.11071000	10.28821446
SECTION_3	4482000.00	0.57	6.00	1.00	1.00	0.25	0.00	0.00	0.27884000	375.45000000	321.20000000	54.25000000	373.38000000	248.98000000	70.15000000	0.12512000	7.46799507
