#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_8	4398000.00	0.56	-6.00	1.00	1.00	0.25	0.00	0.00	-0.34149000	138.61000000	80.45000000	58.16000000	138.13000000	62.85000000	17.13000000	-0.12635000	-24.72236299
SECTION_8	4398000.00	0.56	-5.00	1.00	1.00	0.25	0.00	0.00	-0.18404000	106.40000000	41.94000000	64.45000000	105.31000000	40.12000000	0.74000000	-0.13417000	-17.47602317
SECTION_8	4398000.00	0.56	-4.00	1.00	1.00	0.25	0.00	0.00	-0.03227000	99.15000000	32.72000000	66.43000000	99.70000000	33.27000000	0.00000000	-0.13714000	-3.23671013
SECTION_8	4398000.00	0.56	-3.00	1.00	1.00	0.25	0.00	0.00	0.11118000	102.14000000	34.66000000	67.48000000	100.00000000	32.52000000	0.00000000	-0.13834000	11.11800000
SECTION_8	4398000.00	0.56	-2.00	1.00	1.00	0.25	0.00	0.00	0.25593000	94.32000000	26.10000000	68.23000000	96.06000000	27.84000000	0.00000000	-0.13751000	26.64272330
SECTION_8	4398000.00	0.56	-1.00	1.00	1.00	0.25	0.00	0.00	0.39602000	102.40000000	33.91000000	68.49000000	102.14000000	33.66000000	0.00000000	-0.13983000	38.77227335
SECTION_8	4398000.00	0.56	0.00	1.00	1.00	0.25	0.00	0.00	0.53414000	97.45000000	28.94000000	68.51000000	102.98000000	34.47000000	0.00000000	-0.13714000	51.86832395
SECTION_8	4398000.00	0.56	1.00	1.00	1.00	0.25	0.00	0.00	0.68441000	118.59000000	50.36000000	68.23000000	110.14000000	41.91000000	0.00000000	-0.14567000	62.14000363
SECTION_8	4398000.00	0.56	2.00	1.00	1.00	0.25	0.00	0.00	0.81029000	93.19000000	25.75000000	67.43000000	108.53000000	41.10000000	0.00000000	-0.13151000	74.66046254
SECTION_8	4398000.00	0.56	3.00	1.00	1.00	0.25	0.00	0.00	0.96934000	145.12000000	79.04000000	66.08000000	112.21000000	46.89000000	-0.76000000	-0.14364000	86.38624009
SECTION_8	4398000.00	0.56	4.00	1.00	1.00	0.25	0.00	0.00	1.08052000	176.06000000	113.59000000	62.47000000	148.13000000	70.46000000	15.20000000	-0.13434000	72.94403564
SECTION_8	4398000.00	0.56	5.00	1.00	1.00	0.25	0.00	0.00	1.16926000	228.32000000	172.12000000	56.20000000	217.35000000	100.64000000	60.51000000	-0.11469000	53.79618127
SECTION_8	4398000.00	0.56	6.00	1.00	1.00	0.25	0.00	0.00	1.22199000	329.22000000	282.17000000	47.05000000	322.74000000	183.30000000	92.39000000	-0.10021000	37.86298569
