#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_1	3863000.00	0.49	-6.00	1.00	1.00	0.25	0.00	0.00	-0.10237000	235.36000000	158.17000000	77.20000000	234.75000000	157.55000000	0.00000000	-0.07503000	-4.36080937
SECTION_1	3863000.00	0.49	-5.00	1.00	1.00	0.25	0.00	0.00	-0.01292000	226.40000000	148.94000000	77.46000000	225.88000000	148.42000000	0.00000000	-0.06877000	-0.57198512
SECTION_1	3863000.00	0.49	-4.00	1.00	1.00	0.25	0.00	0.00	0.07158000	219.92000000	142.42000000	77.51000000	219.40000000	141.90000000	0.00000000	-0.06125000	3.26253418
SECTION_1	3863000.00	0.49	-3.00	1.00	1.00	0.25	0.00	0.00	0.14682000	215.48000000	138.20000000	77.28000000	214.88000000	137.60000000	0.00000000	-0.05174000	6.83265078
SECTION_1	3863000.00	0.49	-2.00	1.00	1.00	0.25	0.00	0.00	0.20925000	212.95000000	136.07000000	76.88000000	212.21000000	135.33000000	0.00000000	-0.03965000	9.86051553
SECTION_1	3863000.00	0.49	-1.00	1.00	1.00	0.25	0.00	0.00	0.26145000	212.02000000	135.68000000	76.34000000	211.10000000	134.76000000	0.00000000	-0.02559000	12.38512553
SECTION_1	3863000.00	0.49	0.00	1.00	1.00	0.25	0.00	0.00	0.30441000	212.40000000	136.74000000	75.66000000	211.30000000	135.64000000	0.00000000	-0.00988000	14.40653100
SECTION_1	3863000.00	0.49	1.00	1.00	1.00	0.25	0.00	0.00	0.33944000	213.98000000	139.13000000	74.86000000	212.71000000	137.85000000	0.00000000	0.00711000	15.95787692
SECTION_1	3863000.00	0.49	2.00	1.00	1.00	0.25	0.00	0.00	0.36839000	216.92000000	143.00000000	73.92000000	215.43000000	141.51000000	0.00000000	0.02495000	17.10021817
SECTION_1	3863000.00	0.49	3.00	1.00	1.00	0.25	0.00	0.00	0.38475000	223.36000000	150.76000000	72.60000000	222.16000000	148.02000000	1.55000000	0.04459000	17.31859921
SECTION_1	3863000.00	0.49	4.00	1.00	1.00	0.25	0.00	0.00	0.38053000	237.11000000	166.06000000	71.04000000	245.04000000	171.52000000	2.47000000	0.05902000	15.52930134
SECTION_1	3863000.00	0.49	5.00	1.00	1.00	0.25	0.00	0.00	0.36521000	245.70000000	176.62000000	69.07000000	250.70000000	173.60000000	8.02000000	0.08964000	14.56761069
SECTION_1	3863000.00	0.49	6.00	1.00	1.00	0.25	0.00	0.00	0.34278000	268.50000000	201.27000000	67.23000000	267.60000000	185.84000000	14.52000000	0.11364000	12.80941704
