#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_6	5517000.00	0.70	-6.00	1.00	1.00	0.25	0.00	0.00	-0.54634000	433.17000000	389.82000000	43.35000000	431.00000000	182.85000000	204.80000000	-0.10909000	-12.67610209
SECTION_6	5517000.00	0.70	-5.00	1.00	1.00	0.25	0.00	0.00	-0.37361000	215.61000000	162.00000000	53.61000000	214.51000000	60.95000000	99.95000000	-0.13518000	-17.41690364
SECTION_6	5517000.00	0.70	-4.00	1.00	1.00	0.25	0.00	0.00	-0.17624000	124.63000000	66.27000000	58.36000000	124.17000000	38.83000000	26.97000000	-0.13299000	-14.19344447
SECTION_6	5517000.00	0.70	-3.00	1.00	1.00	0.25	0.00	0.00	0.00758000	93.91000000	32.83000000	61.08000000	93.86000000	30.25000000	2.54000000	-0.12982000	0.80758577
SECTION_6	5517000.00	0.70	-2.00	1.00	1.00	0.25	0.00	0.00	0.18601000	89.93000000	27.07000000	62.85000000	89.60000000	26.75000000	0.00000000	-0.13082000	20.76004464
SECTION_6	5517000.00	0.70	-1.00	1.00	1.00	0.25	0.00	0.00	0.36011000	91.17000000	27.85000000	63.32000000	90.22000000	26.90000000	0.00000000	-0.13175000	39.91465307
SECTION_6	5517000.00	0.70	0.00	1.00	1.00	0.25	0.00	0.00	0.53379000	96.09000000	33.22000000	62.87000000	94.15000000	30.05000000	1.23000000	-0.13080000	56.69569835
SECTION_6	5517000.00	0.70	1.00	1.00	1.00	0.25	0.00	0.00	0.70864000	125.83000000	65.01000000	60.82000000	122.69000000	39.04000000	22.84000000	-0.12463000	57.75857853
SECTION_6	5517000.00	0.70	2.00	1.00	1.00	0.25	0.00	0.00	0.88854000	215.32000000	157.82000000	57.50000000	209.44000000	56.10000000	95.84000000	-0.11958000	42.42456073
SECTION_6	5517000.00	0.70	3.00	1.00	1.00	0.25	0.00	0.00	1.05276000	369.77000000	316.61000000	53.16000000	368.46000000	93.30000000	222.00000000	-0.12035000	28.57189383
SECTION_6	5517000.00	0.70	4.00	1.00	1.00	0.25	0.00	0.00	1.11757000	553.75000000	506.98000000	46.77000000	542.45000000	187.97000000	307.71000000	-0.11840000	20.60226749
SECTION_6	5517000.00	0.70	5.00	1.00	1.00	0.25	0.00	0.00	0.94457000	604.56000000	558.25000000	46.31000000	506.68000000	202.80000000	257.57000000	-0.08977000	18.64233836
SECTION_6	5517000.00	0.70	6.00	1.00	1.00	0.25	0.00	0.00	0.91654000	753.84000000	719.37000000	34.46000000	1037.93000000	577.45000000	426.03000000	-0.07209000	8.83046063
