#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_0	4708000.00	0.60	-6.00	1.00	1.00	0.25	0.00	0.00	-0.22390000	200.96000000	131.69000000	69.27000000	200.48000000	121.39000000	9.82000000	-0.08454000	-11.16819633
SECTION_0	4708000.00	0.60	-5.00	1.00	1.00	0.25	0.00	0.00	-0.12580000	181.10000000	109.94000000	71.17000000	180.76000000	108.81000000	0.78000000	-0.07609000	-6.95950432
SECTION_0	4708000.00	0.60	-4.00	1.00	1.00	0.25	0.00	0.00	-0.02251000	174.11000000	102.29000000	71.83000000	173.79000000	101.96000000	0.00000000	-0.06828000	-1.29524138
SECTION_0	4708000.00	0.60	-3.00	1.00	1.00	0.25	0.00	0.00	0.07511000	170.15000000	98.23000000	71.92000000	169.79000000	97.87000000	0.00000000	-0.05946000	4.42369986
SECTION_0	4708000.00	0.60	-2.00	1.00	1.00	0.25	0.00	0.00	0.16272000	168.03000000	96.37000000	71.66000000	167.52000000	95.86000000	0.00000000	-0.04856000	9.71346705
SECTION_0	4708000.00	0.60	-1.00	1.00	1.00	0.25	0.00	0.00	0.23235000	170.67000000	100.02000000	70.65000000	170.12000000	97.22000000	2.26000000	-0.03393000	13.65800611
SECTION_0	4708000.00	0.60	0.00	1.00	1.00	0.25	0.00	0.00	0.27748000	182.96000000	114.11000000	68.85000000	182.71000000	103.15000000	10.71000000	-0.01483000	15.18690822
SECTION_0	4708000.00	0.60	1.00	1.00	1.00	0.25	0.00	0.00	0.30938000	205.65000000	139.01000000	66.63000000	205.22000000	113.86000000	24.73000000	0.00596000	15.07552870
SECTION_0	4708000.00	0.60	2.00	1.00	1.00	0.25	0.00	0.00	0.32063000	235.98000000	172.17000000	63.81000000	235.75000000	132.44000000	39.50000000	0.02938000	13.60042418
SECTION_0	4708000.00	0.60	3.00	1.00	1.00	0.25	0.00	0.00	0.30461000	267.90000000	206.96000000	60.94000000	267.49000000	157.53000000	49.02000000	0.05583000	11.38771543
SECTION_0	4708000.00	0.60	4.00	1.00	1.00	0.25	0.00	0.00	0.31385000	418.90000000	358.59000000	60.31000000	344.53000000	232.51000000	51.71000000	0.00187000	9.10951151
SECTION_0	4708000.00	0.60	5.00	1.00	1.00	0.25	0.00	0.00	0.33028000	513.04000000	454.23000000	58.82000000	443.64000000	309.96000000	74.86000000	0.06133000	7.44477504
SECTION_0	4708000.00	0.60	6.00	1.00	1.00	0.25	0.00	0.00	0.12948000	341.49000000	287.19000000	54.30000000	365.39000000	250.29000000	60.80000000	0.13224000	3.54361094
