#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_2	4715000.00	0.60	-6.00	1.00	1.00	0.25	0.00	0.00	-0.31131000	351.26000000	294.01000000	57.25000000	341.23000000	224.36000000	59.61000000	-0.07188000	-9.12317205
SECTION_2	4715000.00	0.60	-5.00	1.00	1.00	0.25	0.00	0.00	-0.28936000	266.98000000	204.63000000	62.35000000	261.79000000	155.96000000	43.48000000	-0.05745000	-11.05313419
SECTION_2	4715000.00	0.60	-4.00	1.00	1.00	0.25	0.00	0.00	-0.23131000	204.22000000	138.00000000	66.22000000	203.02000000	117.90000000	18.90000000	-0.04396000	-11.39345877
SECTION_2	4715000.00	0.60	-3.00	1.00	1.00	0.25	0.00	0.00	-0.14889000	171.12000000	102.57000000	68.55000000	170.14000000	99.24000000	2.36000000	-0.03133000	-8.75102856
SECTION_2	4715000.00	0.60	-2.00	1.00	1.00	0.25	0.00	0.00	-0.05354000	160.08000000	90.80000000	69.28000000	159.09000000	89.81000000	0.00000000	-0.01947000	-3.36539066
SECTION_2	4715000.00	0.60	-1.00	1.00	1.00	0.25	0.00	0.00	0.03751000	155.62000000	86.69000000	68.93000000	155.41000000	85.21000000	1.27000000	-0.00652000	2.41361560
SECTION_2	4715000.00	0.60	0.00	1.00	1.00	0.25	0.00	0.00	0.10320000	163.89000000	96.40000000	67.48000000	160.15000000	85.65000000	7.02000000	0.01135000	6.44395879
SECTION_2	4715000.00	0.60	1.00	1.00	1.00	0.25	0.00	0.00	0.14251000	177.86000000	112.79000000	65.07000000	178.73000000	93.06000000	20.60000000	0.03350000	7.97347955
SECTION_2	4715000.00	0.60	2.00	1.00	1.00	0.25	0.00	0.00	0.14861000	211.32000000	149.70000000	61.62000000	210.20000000	110.01000000	38.56000000	0.06014000	7.06993340
SECTION_2	4715000.00	0.60	3.00	1.00	1.00	0.25	0.00	0.00	0.11432000	246.70000000	189.08000000	57.62000000	245.63000000	138.37000000	49.65000000	0.09145000	4.65415462
SECTION_2	4715000.00	0.60	4.00	1.00	1.00	0.25	0.00	0.00	0.05446000	287.25000000	233.60000000	53.65000000	286.47000000	180.08000000	52.74000000	0.12381000	1.90107167
SECTION_2	4715000.00	0.60	5.00	1.00	1.00	0.25	0.00	0.00	-0.01811000	341.57000000	291.64000000	49.94000000	340.82000000	242.70000000	48.18000000	0.15289000	-0.53136553
SECTION_2	4715000.00	0.60	6.00	1.00	1.00	0.25	0.00	0.00	-0.11065000	427.70000000	381.03000000	46.66000000	424.78000000	338.51000000	39.61000000	0.17645000	-2.60487782
