#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_6	5517000	0.7	-6	1	1	0.25	0	0	-0.55	433.2	389.8	43.4	431.0	182.9	204.8	-0.109	-12.68
SECTION_6	5517000	0.7	-5	1	1	0.25	0	0	-0.37	215.6	162.0	53.6	214.5	61.0	100.0	-0.135	-17.42
SECTION_6	5517000	0.7	-4	1	1	0.25	0	0	-0.18	124.6	66.3	58.4	124.2	38.8	27.0	-0.133	-14.19
SECTION_6	5517000	0.7	-3	1	1	0.25	0	0	0.01	93.9	32.8	61.1	93.9	30.3	2.5	-0.130	0.81
SECTION_6	5517000	0.7	-2	1	1	0.25	0	0	0.19	89.9	27.1	62.9	89.6	26.8	0.0	-0.131	20.76
SECTION_6	5517000	0.7	-1	1	1	0.25	0	0	0.36	91.2	27.9	63.3	90.2	26.9	0.0	-0.132	39.91
SECTION_6	5517000	0.7	0	1	1	0.25	0	0	0.53	96.1	33.2	62.9	94.2	30.1	1.2	-0.131	56.70
SECTION_6	5517000	0.7	1	1	1	0.25	0	0	0.71	125.8	65.0	60.8	122.7	39.0	22.8	-0.125	57.76
SECTION_6	5517000	0.7	2	1	1	0.25	0	0	0.89	215.3	157.8	57.5	209.4	56.1	95.8	-0.120	42.42
SECTION_6	5517000	0.7	3	1	1	0.25	0	0	1.05	369.8	316.6	53.2	368.5	93.3	222.0	-0.120	28.57
SECTION_6	5517000	0.7	4	1	1	0.25	0	0	1.12	553.8	507.0	46.8	542.5	188.0	307.7	-0.118	20.60
SECTION_6	5517000	0.7	5	1	1	0.25	0	0	0.94	604.6	558.3	46.3	506.7	202.8	257.6	-0.090	18.64
SECTION_6	5517000	0.7	6	1	1	0.25	0	0	0.92	753.8	719.4	34.5	1037.9	577.5	426.0	-0.072	8.83
