#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_4	5032000	0.639	-6	1	1	0.25	0	0	-0.57	308.7	260.5	48.2	306.3	108.6	149.6	-0.091	-18.60
SECTION_4	5032000	0.639	-5	1	1	0.25	0	0	-0.44	194.0	138.6	55.4	192.6	60.2	77.0	-0.086	-22.84
SECTION_4	5032000	0.639	-4	1	1	0.25	0	0	-0.29	127.0	67.2	59.8	126.3	39.7	26.9	-0.080	-23.21
SECTION_4	5032000	0.639	-3	1	1	0.25	0	0	-0.15	95.6	32.6	63.1	95.6	28.6	4.0	-0.076	-15.20
SECTION_4	5032000	0.639	-2	1	1	0.25	0	0	0.01	89.0	23.7	65.4	88.9	23.5	0.0	-0.074	0.72
SECTION_4	5032000	0.639	-1	1	1	0.25	0	0	0.16	88.8	22.8	66.0	88.6	22.6	0.0	-0.074	17.98
SECTION_4	5032000	0.639	0	1	1	0.25	0	0	0.31	90.3	24.1	66.2	89.6	23.4	0.0	-0.074	34.78
SECTION_4	5032000	0.639	1	1	1	0.25	0	0	0.46	93.3	27.4	65.9	91.9	26.0	0.0	-0.073	50.48
SECTION_4	5032000	0.639	2	1	1	0.25	0	0	0.62	98.2	33.1	65.0	95.6	30.6	0.0	-0.071	64.50
SECTION_4	5032000	0.639	3	1	1	0.25	0	0	0.77	114.5	51.6	62.9	110.7	39.5	8.3	-0.064	69.42
SECTION_4	5032000	0.639	4	1	1	0.25	0	0	0.91	175.5	116.8	58.8	170.0	59.7	51.6	-0.055	53.55
SECTION_4	5032000	0.639	5	1	1	0.25	0	0	1.02	304.5	252.3	52.2	278.9	111.2	115.6	-0.048	36.74
SECTION_4	5032000	0.639	6	1	1	0.25	0	0	1.06	445.0	401.2	43.8	438.1	217.7	176.5	-0.035	24.13
