#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_2	4715000	0.599	-6	1	1	0.25	0	0	-0.31	351.3	294.0	57.3	341.2	224.4	59.6	-0.072	-9.12
SECTION_2	4715000	0.599	-5	1	1	0.25	0	0	-0.29	267.0	204.6	62.4	261.8	156.0	43.5	-0.057	-11.05
SECTION_2	4715000	0.599	-4	1	1	0.25	0	0	-0.23	204.2	138.0	66.2	203.0	117.9	18.9	-0.044	-11.39
SECTION_2	4715000	0.599	-3	1	1	0.25	0	0	-0.15	171.1	102.6	68.6	170.1	99.2	2.4	-0.031	-8.75
SECTION_2	4715000	0.599	-2	1	1	0.25	0	0	-0.05	160.1	90.8	69.3	159.1	89.8	0.0	-0.019	-3.37
SECTION_2	4715000	0.599	-1	1	1	0.25	0	0	0.04	155.6	86.7	68.9	155.4	85.2	1.3	-0.007	2.41
SECTION_2	4715000	0.599	0	1	1	0.25	0	0	0.10	163.9	96.4	67.5	160.2	85.7	7.0	0.011	6.44
SECTION_2	4715000	0.599	1	1	1	0.25	0	0	0.14	177.9	112.8	65.1	178.7	93.1	20.6	0.034	7.97
SECTION_2	4715000	0.599	2	1	1	0.25	0	0	0.15	211.3	149.7	61.6	210.2	110.0	38.6	0.060	7.07
SECTION_2	4715000	0.599	3	1	1	0.25	0	0	0.11	246.7	189.1	57.6	245.6	138.4	49.7	0.091	4.65
SECTION_2	4715000	0.599	4	1	1	0.25	0	0	0.05	287.3	233.6	53.7	286.5	180.1	52.7	0.124	1.90
SECTION_2	4715000	0.599	5	1	1	0.25	0	0	-0.02	341.6	291.6	49.9	340.8	242.7	48.2	0.153	-0.53
SECTION_2	4715000	0.599	6	1	1	0.25	0	0	-0.11	427.7	381.0	46.7	424.8	338.5	39.6	0.176	-2.60
