#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_8	4398000	0.559	-6	1	1	0.25	0	0	-0.34	138.6	80.5	58.2	138.1	62.9	17.1	-0.126	-24.72
SECTION_8	4398000	0.559	-5	1	1	0.25	0	0	-0.18	106.4	41.9	64.5	105.3	40.1	0.7	-0.134	-17.48
SECTION_8	4398000	0.559	-4	1	1	0.25	0	0	-0.03	99.2	32.7	66.4	99.7	33.3	0.0	-0.137	-3.24
SECTION_8	4398000	0.559	-3	1	1	0.25	0	0	0.11	102.1	34.7	67.5	100.0	32.5	0.0	-0.138	11.12
SECTION_8	4398000	0.559	-2	1	1	0.25	0	0	0.26	94.3	26.1	68.2	96.1	27.8	0.0	-0.138	26.64
SECTION_8	4398000	0.559	-1	1	1	0.25	0	0	0.40	102.4	33.9	68.5	102.1	33.7	0.0	-0.140	38.77
SECTION_8	4398000	0.559	0	1	1	0.25	0	0	0.53	97.5	28.9	68.5	103.0	34.5	0.0	-0.137	51.87
SECTION_8	4398000	0.559	1	1	1	0.25	0	0	0.68	118.6	50.4	68.2	110.1	41.9	0.0	-0.146	62.14
SECTION_8	4398000	0.559	2	1	1	0.25	0	0	0.81	93.2	25.8	67.4	108.5	41.1	0.0	-0.132	74.66
SECTION_8	4398000	0.559	3	1	1	0.25	0	0	0.97	145.1	79.0	66.1	112.2	46.9	-0.8	-0.144	86.39
SECTION_8	4398000	0.559	4	1	1	0.25	0	0	1.08	176.1	113.6	62.5	148.1	70.5	15.2	-0.134	72.94
SECTION_8	4398000	0.559	5	1	1	0.25	0	0	1.17	228.3	172.1	56.2	217.4	100.6	60.5	-0.115	53.80
SECTION_8	4398000	0.559	6	1	1	0.25	0	0	1.22	329.2	282.2	47.1	322.7	183.3	92.4	-0.100	37.86
