#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_0	4708000	0.598	-6	1	1	0.25	0	0	-0.22	201.0	131.7	69.3	200.5	121.4	9.8	-0.085	-11.17
SECTION_0	4708000	0.598	-5	1	1	0.25	0	0	-0.13	181.1	109.9	71.2	180.8	108.8	0.8	-0.076	-6.96
SECTION_0	4708000	0.598	-4	1	1	0.25	0	0	-0.02	174.1	102.3	71.8	173.8	102.0	0.0	-0.068	-1.30
SECTION_0	4708000	0.598	-3	1	1	0.25	0	0	0.08	170.2	98.2	71.9	169.8	97.9	0.0	-0.059	4.42
SECTION_0	4708000	0.598	-2	1	1	0.25	0	0	0.16	168.0	96.4	71.7	167.5	95.9	0.0	-0.049	9.71
SECTION_0	4708000	0.598	-1	1	1	0.25	0	0	0.23	170.7	100.0	70.7	170.1	97.2	2.3	-0.034	13.66
SECTION_0	4708000	0.598	0	1	1	0.25	0	0	0.28	183.0	114.1	68.9	182.7	103.2	10.7	-0.015	15.19
SECTION_0	4708000	0.598	1	1	1	0.25	0	0	0.31	205.7	139.0	66.6	205.2	113.9	24.7	0.006	15.08
SECTION_0	4708000	0.598	2	1	1	0.25	0	0	0.32	236.0	172.2	63.8	235.8	132.4	39.5	0.029	13.60
SECTION_0	4708000	0.598	3	1	1	0.25	0	0	0.30	267.9	207.0	60.9	267.5	157.5	49.0	0.056	11.39
SECTION_0	4708000	0.598	4	1	1	0.25	0	0	0.31	418.9	358.6	60.3	344.5	232.5	51.7	0.002	9.11
SECTION_0	4708000	0.598	5	1	1	0.25	0	0	0.33	513.0	454.2	58.8	443.6	310.0	74.9	0.061	7.44
SECTION_0	4708000	0.598	6	1	1	0.25	0	0	0.13	341.5	287.2	54.3	365.4	250.3	60.8	0.132	3.54
