#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_7	4398000	0.559	-6	1	1	0.25	0	0	-0.34	147.8	91.7	56.1	147.4	70.2	21.1	-0.126	-22.77
SECTION_7	4398000	0.559	-5	1	1	0.25	0	0	-0.18	107.2	43.7	63.5	106.7	40.9	2.3	-0.132	-17.28
SECTION_7	4398000	0.559	-4	1	1	0.25	0	0	-0.03	98.8	32.4	66.4	99.0	32.7	0.0	-0.134	-3.43
SECTION_7	4398000	0.559	-3	1	1	0.25	0	0	0.11	97.2	29.7	67.5	97.0	29.6	0.0	-0.137	11.63
SECTION_7	4398000	0.559	-2	1	1	0.25	0	0	0.25	98.8	30.7	68.1	98.2	30.0	0.0	-0.137	25.89
SECTION_7	4398000	0.559	-1	1	1	0.25	0	0	0.40	98.6	30.1	68.5	96.4	27.9	0.0	-0.139	41.50
SECTION_7	4398000	0.559	0	1	1	0.25	0	0	0.54	100.0	31.5	68.5	96.9	28.4	0.0	-0.139	55.83
SECTION_7	4398000	0.559	1	1	1	0.25	0	0	0.67	95.5	27.4	68.2	103.5	35.3	0.0	-0.134	64.99
SECTION_7	4398000	0.559	2	1	1	0.25	0	0	0.82	103.1	35.7	67.4	101.8	34.4	0.0	-0.133	80.29
SECTION_7	4398000	0.559	3	1	1	0.25	0	0	0.96	146.8	81.2	65.6	117.5	51.2	0.6	-0.141	81.77
SECTION_7	4398000	0.559	4	1	1	0.25	0	0	1.07	171.4	110.0	61.4	151.0	64.1	25.5	-0.124	70.66
SECTION_7	4398000	0.559	5	1	1	0.25	0	0	1.16	249.6	194.6	54.9	229.7	111.0	63.8	-0.114	50.48
SECTION_7	4398000	0.559	6	1	1	0.25	0	0	1.20	347.7	302.4	45.4	337.8	200.8	91.7	-0.097	35.52
