#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_1	3863000	0.491	-6	1	1	0.25	0	0	-0.10	235.4	158.2	77.2	234.8	157.6	0.0	-0.075	-4.36
SECTION_1	3863000	0.491	-5	1	1	0.25	0	0	-0.01	226.4	148.9	77.5	225.9	148.4	0.0	-0.069	-0.57
SECTION_1	3863000	0.491	-4	1	1	0.25	0	0	0.07	219.9	142.4	77.5	219.4	141.9	0.0	-0.061	3.26
SECTION_1	3863000	0.491	-3	1	1	0.25	0	0	0.15	215.5	138.2	77.3	214.9	137.6	0.0	-0.052	6.83
SECTION_1	3863000	0.491	-2	1	1	0.25	0	0	0.21	213.0	136.1	76.9	212.2	135.3	0.0	-0.040	9.86
SECTION_1	3863000	0.491	-1	1	1	0.25	0	0	0.26	212.0	135.7	76.3	211.1	134.8	0.0	-0.026	12.39
SECTION_1	3863000	0.491	0	1	1	0.25	0	0	0.30	212.4	136.7	75.7	211.3	135.6	0.0	-0.010	14.41
SECTION_1	3863000	0.491	1	1	1	0.25	0	0	0.34	214.0	139.1	74.9	212.7	137.9	0.0	0.007	15.96
SECTION_1	3863000	0.491	2	1	1	0.25	0	0	0.37	216.9	143.0	73.9	215.4	141.5	0.0	0.025	17.10
SECTION_1	3863000	0.491	3	1	1	0.25	0	0	0.38	223.4	150.8	72.6	222.2	148.0	1.6	0.045	17.32
SECTION_1	3863000	0.491	4	1	1	0.25	0	0	0.38	237.1	166.1	71.0	245.0	171.5	2.5	0.059	15.53
SECTION_1	3863000	0.491	5	1	1	0.25	0	0	0.37	245.7	176.6	69.1	250.7	173.6	8.0	0.090	14.57
SECTION_1	3863000	0.491	6	1	1	0.25	0	0	0.34	268.5	201.3	67.2	267.6	185.8	14.5	0.114	12.81
